V,ALT,INDEX,TIME
0,0.1,226,-0.6
0,0.1,227,-0.56
0,0.1,228,-0.52
0,0.1,229,-0.48
0,0.1,230,-0.44
0,0.1,231,-0.4
0,0.1,232,-0.36
0,0.1,233,-0.32
0,0.1,234,-0.28
0,0.1,235,-0.24
0,0.1,236,-0.2
0,0.1,237,-0.16
0,0.1,238,-0.12
0,0.1,239,-0.08
0,0.1,240,-0.04
1,0.1,241,0
1,0.1,242,0.04
1,0.1,243,0.08
1,0.1,244,0.12
2,0.1,245,0.16
2,0.1,246,0.2
2,0.1,247,0.24
3,0.1,248,0.28
3,0.1,249,0.32
3,0.1,250,0.36
3,0.1,251,0.4
3,0.1,252,0.44
4,0.1,253,0.48
4,0.1,254,0.52
4,0.1,255,0.56
5,0.1,256,0.6
5,0.1,257,0.64
5,0.1,258,0.68
5,0.1,259,0.72
5,0.1,260,0.76
5,0.1,261,0.8
6,0.1,262,0.84
6,0.1,263,0.88
5,0.1,264,0.92
5,0.1,265,0.96
5,0.1,266,1
4,0.1,267,1.04
4,0.1,268,1.08
6,0.1,269,1.12
9,0.1,270,1.16
9,0.1,271,1.2
10,0.1,272,1.24
11,0.1,273,1.28
11,0.1,274,1.32
12,0.1,275,1.36
13,0.1,276,1.4
13,0.1,277,1.44
14,0.1,278,1.48
14,0.1,279,1.52
15,0.1,280,1.56
16,0.1,281,1.6
16,0.1,282,1.64
18,0.1,283,1.68
20,0.1,284,1.72
20,0.1,285,1.76
20,0.1,286,1.8
21,0.1,287,1.84
21,0.1,288,1.88
21,0.1,289,1.92
22,0.1,290,1.96
23,0.1,291,2
23,0.1,292,2.04
24,0.1,293,2.08
24,0.1,294,2.12
24,0.1,295,2.16
24,0.1,296,2.2
25,0.1,297,2.24
25,0.1,298,2.28
26,0.1,299,2.32
26,0.1,300,2.36
26,0.1,301,2.4
26,0.1,302,2.44
27,0.1,303,2.48
27,0.1,304,2.52
27,0.1,305,2.56
27,0.1,306,2.6
27,0.1,307,2.64
28,0.1,308,2.68
28,0.1,309,2.72
29,0.1,310,2.76
29,0.1,311,2.8
30,0.1,312,2.84
31,0.1,313,2.88
31,0.1,314,2.92
32,0.1,315,2.96
32,0.1,316,3
32,0.1,317,3.04
33,0.1,318,3.08
33,0.1,319,3.12
34,0.1,320,3.16
34,0.1,321,3.2
34,0.1,322,3.24
34,0.1,323,3.28
35,0.2,324,3.32
35,0.2,325,3.36
35,0.2,326,3.4
36,0.2,327,3.44
37,0.2,328,3.48
37,0.2,329,3.52
37,0.2,330,3.56
38,0.2,331,3.6
39,0.2,332,3.64
39,0.2,333,3.68
40,0.2,334,3.72
40,0.2,335,3.76
40,0.2,336,3.8
41,0.2,337,3.84
41,0.2,338,3.88
41,0.2,339,3.92
42,0.2,340,3.96
42,0.2,341,4
42,0.2,342,4.04
43,0.2,343,4.08
43,0.2,344,4.12
44,0.2,345,4.16
44,0.2,346,4.2
44,0.2,347,4.24
45,0.2,348,4.28
46,0.2,349,4.32
46,0.2,350,4.36
47,0.2,351,4.4
47,0.2,352,4.44
47,0.2,353,4.48
48,0.2,354,4.52
48,0.2,355,4.56
48,0.2,356,4.6
49,0.2,357,4.64
50,0.2,358,4.68
50,0.2,359,4.72
51,0.2,360,4.76
51,0.2,361,4.8
52,0.2,362,4.84
52,0.2,363,4.88
53,0.2,364,4.92
54,0.2,365,4.96
54,0.2,366,5
55,0.2,367,5.04
55,0.2,368,5.08
55,0.2,369,5.12
56,0.2,370,5.16
56,0.2,371,5.2
56,0.2,372,5.24
56,0.2,373,5.28
56,0.2,374,5.32
57,0.2,375,5.36
58,0.2,376,5.4
58,0.2,377,5.44
58,0.2,378,5.48
59,0.2,379,5.52
59,0.2,380,5.56
60,0.2,381,5.6
60,0.2,382,5.64
60,0.2,383,5.68
61,0.2,384,5.72
62,0.2,385,5.76
62,0.2,386,5.8
62,0.2,387,5.84
63,0.2,388,5.88
64,0.2,389,5.92
64,0.2,390,5.96
64,0.2,391,6
65,0.2,392,6.04
65,0.2,393,6.08
66,0.2,394,6.12
66,0.2,395,6.16
66,0.2,396,6.2
67,0.2,397,6.24
67,0.2,398,6.28
67,0.2,399,6.32
68,0.2,400,6.36
69,0.2,401,6.4
69,0.2,402,6.44
70,0.2,403,6.48
70,0.2,404,6.52
71,0.2,405,6.56
71,0.2,406,6.6
71,0.2,407,6.64
72,0.2,408,6.68
73,0.2,409,6.72
73,0.2,410,6.76
73,0.2,411,6.8
74,0.2,412,6.84
75,0.2,413,6.88
75,0.2,414,6.92
76,0.2,415,6.96
76,0.2,416,7
77,0.2,417,7.04
77,0.2,418,7.08
77,0.2,419,7.12
78,0.2,420,7.16
78,0.2,421,7.2
78,0.2,422,7.24
78,0.2,423,7.28
79,0.2,424,7.32
80,0.2,425,7.36
80,0.2,426,7.4
81,0.2,427,7.44
81,0.2,428,7.48
81,0.2,429,7.52
82,0.2,430,7.56
82,0.2,431,7.6
83,0.2,432,7.64
